Ticker,Short Name,GICS Sector,Ranking Model: Long Score,Alpha:M-6,P/E,Live PE Chg,P/B,Live P/BK Chg,P/FCF,Live P/CF Chg,Diluted EPS - 5 Year Average Growth:Y,BEst ROE BF12M,BEst ROA BF12M,Tot Buy,Tot Sell,"5 December, 2012",Closing PX ,WMAVG,,,SMAVG,,,
3368    HK Equity,PARKSON RETAIL,Consumer Discretionary,44.85,-0.37,11.92,1.22,2.31,-0.1,21.69,3.27,20.05,18.3,8.92,1,15,,5.61,5.688363636,5.719636364,5.796909091,5.78,5.782,5.805,
66      HK Equity,MTR CORP,Industrials,44.82,0.1,14.4,5.56,1.31,0.01,89.08,15.14,21.43,6.6,4.35,9,1,,31.2,30.85545455,30.74,30.61454545,30.68,30.565,30.46,
683     HK Equity,KERRY PROPERTIES,Financials,44.77,0.17,10.17,1.53,0.86,-0.01,N.A.,-5.61,10.1,6.85,4.06,11,3,,39.95,39.71090909,39.62272727,39.52545455,39.58,39.465,39.365,
1038    HK Equity,CHEUNG KG INFRAS,Utilities,44.74,0.05,13.15,-0.9,2.08,-0.3,N.A.,N.A.,N.A.,15.48,11.64,11,1,,47.45,47.06909091,46.91909091,46.70636364,46.79,46.625,46.43,
GGR     SP Equity,GOLDEN AGRI-RESO,Consumer Staples,44.68,-0.11,6.04,7.19,0.81,-0.03,N.A.,-8.64,38.41,6.73,5.47,14,2,,0.645,0.648454545,0.647,0.642909091,0.6405,0.637,0.6325,
522     HK Equity,ASM PACIFIC TECH,Information Technology,44.48,-0.06,17.98,20.27,5.65,-0.18,N.A.,-51.15,37.45,25.15,16.35,5,6,,91.75,89.92181818,89.5,89.37636364,89.715,89.43,89.37,
2007    HK Equity,COUNTRY GARDEN,Financials,44.44,0.08,8.86,-0.56,1.61,-0.12,N.A.,N.A.,51.42,18.41,5.91,19,3,,3.73,3.634363636,3.601636364,3.570363636,3.583,3.55,3.518,
3383    HK Equity,AGILE PROPERTY,Financials,44.37,0.05,7.23,-0.2,1.28,-0.09,N.A.,N.A.,69.31,17.33,4.85,20,3,,10.72,10.30490909,10.16981818,10.04054545,10.11,9.977,9.849,
270     HK Equity,GUANGDONG INVEST,Utilities,44.28,0.1,12.09,0.99,1.72,-0.03,N.A.,N.A.,14.63,12.53,9.3,11,0,,6.3,6.256545455,6.238181818,6.216363636,6.223,6.199,6.17,
669     HK Equity,TECHTRONIC INDS,Consumer Discretionary,44.27,0.34,19.46,-2.56,2.46,-0.17,N.A.,N.A.,48.16,15.84,6.96,12,1,,14.9,15.43454545,15.56581818,15.616,15.566,15.622,15.636,
